User,Tweet,Language
BekaLombardo,"#ICYMI Here is the link from our show today with @HopeVirgo and @RealMissAnxiety 
We hope you'll check it out if you haven't yet! 
https://t.co/1sbusNT5QD

#KeepTalkingMH #bipolar #depression #anxiety #mentalillness #suicideprevention #endthestigma #MentalHealthAwarenessMonth",en
HealthyPlace,"#MentalHealth Hospitalization #Stigma: Remember Your Worth || https://t.co/kWJbf7y7x5
==
#schizophrenia #bipolar #depression #mhsm #mhchat https://t.co/ymiXLmA895",en
gina_capobianco,"#MentalIllness #EndtheStigma #CureStigma #mentalwellness #CurativeQuest #depression #anxiety #NAMI #NAMIUrbanLA #poetryheals #MentalHealthAdvocate #GinaCapobianco
#poetry #mentalhealth #NAMI_oc #NAMILosAngelesCounty #neverfeelashamed #NAMICommunicate #namisgv #NAMICares #WhyCare https://t.co/aoGJgzNvpc",en
teenaswager,17 Surprising Physical Symptoms of #Depression  https://t.co/JBle7XWPTb #mentalhealth #MentalHealthAwareness,en
MichelleAMilew,"A scary but honest article on suicidal thoughts: 
https://t.co/hRtRNh4hxM #MentalHealthAwarenessMonth #MentalHealth #Depression",en
ecrivainspecial,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
domenic11526505,"RT @jeffhalevy: Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
Stephie_Lark,"RT @Morrigan_83: Telling people with legitimate depression to ""just cheer up"" minimizes the reality they live in, the only existence they know. 

#depression #MentalHealthAwareness 
#MentalHealthAwarnessWeek",en
maxollieandme,"mindful lavender sachet, get well present, #anxiety thinking of you gift, #selfcare reminder, #depression #mindfulness relaxation https://t.co/pgPYGGtILu @Etsy #smallbiz #spoonie
#StrongerTogether #shopsmallchangehabits",en
litazombie,#reachout #ppd #depression #keepfighting #fightforyourlife #therapy #speakup,en
Earthen_Hearth,"https://t.co/UnoBMQ3bYA
I play this song loudly, let go, clear my mind, allow the sound to replace my thoughts. Wash over. Light breaking through storm clouds. ????????Time? There's always time.?????????
#gunship #music #writersofinstagram #synthwave #Depression
#mentalhealth",en
FatumasVoice,"RT @Harun_Mwadena: Today we are celebrating #AfricaDay2019 by empowering youth from #Ethiopia in how to tell their stories &amp; technics in how to overcome #depression.

#mentalhealth #BeyongTheNose #ItsMwadena #FatumasVoice 

@FatumasVoice @cmxchange @Ashoka @asalvaire @YALI4AFRICA @YALINetwork https://t.co/zfxJUK1Asr",en
RinMadvillian,Help those who can’t make it out alone... #depression is not a choice...Today we sound you off Benny..We hope to feel you in the air with us.,en
HealingNaps,"RT @lannomohome: Subscribe Now!!! or comment YES down. Shot you discount code, UP TO 20% OFF!?
-
-
-
-
#weighedblanket #insomnia #bettersleep #sleep #healthyliving #depression #anxiety #selfcare #autism #autismacceptance #autismsupport #adhdproblems #adhdawareness #adhdsupport #sleepaid https://t.co/cD7iOLTtPm",en
SSchoubroek625,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
theflawedones,"Out of all the things you will regret in life I promise you, not giving up will never be one. Keep grinding #motivation #mentalhealthawareness #sobriety #consciousness #bipolar #depression #addiction #sicknotweak #anxiety #mentalillness #mentalhealth https://t.co/Bb20XAcxKJ",en
MancKarl,#depression #staystrong #mentalhealthawareness https://t.co/297EL7w33h,en
grumpygrl2,Is it Sunday yet I’m patiently waiting for another State of Mind talk from @MauriceBenard #Bipolar #anxiety #depression your talks are so helpful means ? to me #inspirational #NeverGiveUp #faceyourfears Sunday can’t come quick enough #helpingothers #1actor #advocate #mentor https://t.co/DAh4SG5vfe,en
Elizabe80927928,"RT @HealthyPlace: How to Handle People Who Stigmatize #MentalHealth || https://t.co/h1FESwLNde
==
#stigma #depression #anxiety #bipolar #mhsm #mhchat",en
hopper_gavin,"It was late at night, I was hoping to sneak in the house, but as soon as I entered Darry jumped up and started yellin' at me. Soda stood up for me, but Darry snapped at him. I snapped at Darry, then he slapped me so hard, I couldn't take it no more. I ran away. #Sad #Depression",en
allentien,"#Anger has a causal role with #depression, see Depression-Violence link: https://t.co/QIkjsO4OiX #Relationships #PsychoanalyticModels #EmotionLogic #BrainFunction #Unconscious ..#SharedFacts",en
HealthyPlace,"How to Handle People Who Stigmatize #MentalHealth || https://t.co/h1FESwLNde
==
#stigma #depression #anxiety #bipolar #mhsm #mhchat",en
ucaremn,"#BrainFood #AgeWell #NewsToUse
Recent research finds the #MediterraneanDiet may protect against late-life #depression because it combines foods and nutrients potentially protective against cognitive dysfunction or dementia. https://t.co/a0YXuBCiEx",en
MizBanks,"RT @PROPHECYandNEWS: Learn HOW to let your #enemies drive you into a position of #blessing and #power. ""#Healing #Mental #Disease and #Depression"" by Prince Handley  https://t.co/DGCeRTSN4W https://t.co/WjGS2ntufr",en
AnxZenity,Just released Episode 23: Anxiety Can Cause That Many Symptoms? (Part1). I talk extra symptoms you may be missing. Find it here https://t.co/bChsegMexN or here https://t.co/qLZJxfyMsI #storytelling #mentalhealth #mentalhealthawareness  #itunes #nowplaying #depression #anxiety https://t.co/OU61bF7Uai,en
bbarcode,#Depression and Ketamine https://t.co/Ns1DNYMm9f,en
youmatnotalone,@youmatnotalone     #mentalhealthawarenessmonth #depression #anxiety #ymna #youmatternotalone https://t.co/VlxuimzwKe,en
YennMichelle21,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
_EquanimityMind,"? Mental Health Support ? End Catastrophic Thinking ? Find Your Myth ? Let Go ?
#innerstrength #pain #spirit #meaning #psyche #meditation #health #suffering #love #peace #healing #meaning #purpose #Nietzsche #anxiety #philosophy #psychology #beauty #depression #panicattacks",en
SS_Final,Here's an interesting article about #depression https://t.co/xLY4yr24sL,en
AnxiousQuill,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en
TXRxCBD,In honor of #memorialdayweekend2019  ?? and our #veterans #cbdoil will be 20% off our already low price of ?5??8??.  #cbd helps with  #ptsdrecovery #anxiety #depression and #painrelief Code: USA ?? ?? https://t.co/SkHnMpCTta,en
MaryDSheets1,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
dremers1,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
MHIIR_14,"#mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en
lifetheorymusic,"@TrickFHelp #NowPlaying #depression #blvd
https://t.co/8TOJCj2601",en
ChristenCastor1,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
badDadGoku,"RT @4AMShower: You get an updoot from me. Today’s smile goal: reassure yourself. ?

Support me making these comics at https://t.co/xoU612ZiFo :)
#happy #cute #art #motivation #inspiration #inspiring #aww #friends #support #help #depression #comics #love #scbwi #MentalHealthAwarenessMonth https://t.co/i5bUJRoqjF",en
datmafia_,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
lifetheorymusic,"@rizickyusuph1 #piano #sad #melancholic #chillout #depression
https://t.co/8TOJCj2601",en
Emmakaydee94,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
thedjjeffries,Depression can affect any of us at any time. But most of us don’t know how to respond when it affects people we know. #ThisHappenedToMe #Depression #LifeLessons #Relationships #MentalHealth https://t.co/HUfLLjHuri,en
HealthyPlace,"The Myth of the #NervousBreakdown || https://t.co/a6x4zEN3ah
==
#mentalhealth #bipolar #depression #anxiety #mhsm #mhchat https://t.co/0OrwucgAEQ",en
CrowdExposure,"? Living with acute depression ?
RETWEET SHARE SUPPORT DONATE
@Pet1970bun #Depression #Help #Support #Donate #CrowdExposure #CrowdFund #Crowdfunding @Gofundme #Gofundme #Fundraising
??
SUPPORT
??
https://t.co/JcNcf7HtOC https://t.co/AqiPLUxWTg",en
BPLovecraft,RT @AuthorCiaL: Good evening Peeps. I am keeping as busy as possible to fight #depression and #anxiety Am finalizing Mulatto: Daughter of America Book 2 and #amreading #amwriting #IARTG #readers #bookoggers #bookreviewers Have you read #mulattodaughterofamerica yet? #perfectweekendread ??#RT https://t.co/8S5GvK7qCd,en
JimPolandcom,"RT @NIMHgov: #OlderAdults go through life changes that can cause feelings of stress or sadness. These feelings are normal, but #depression is different. Learn the signs and find treatment:  https://t.co/5e6Sd1tlCf. #NationalOlderAdultMentalHealthAwarenessDay https://t.co/pW7PSFUUZG",en
PacMedWA,#Depression doesn't always live on the surface. Ask #OneMoreQuestion to find out how your friend's day is really going. #SimplyTheRightCare https://t.co/mkWNeXxFNW https://t.co/A37AcsSuIf,en
peartree_123,Not working (my choice). New dog. Cruise ahead. Life pretty steady. Still feeling weepy and overwhelmed at times. WHY?? #depression #hateit #sucks,en
jjosephauthor,"Fuck the rules!

#emotions #love #feelings #life #art #sad #poetry #thoughts #happy #heart #quotes #authorsgram #instagram #writersofinstagram #follow #instagood #depression #like #people #mood #healing #anxiety… https://t.co/Vg4g4W2j07",en
lex_penhaligan,#MentalHealthAwarenessWeek #mentalhealth #asktwice #GAD #generalanxietydisorder #depression #ocd #babysteps https://t.co/HVtMrASMDX,en
carriechitsey,Sen. Tina Smith reveals her own past #depression in push for #MentalHealth funding #mentalhealthawareness https://t.co/ub2SBqbSkA,en
Some1orNobody,#bpd #PTSD #ptsd #depression #anxiety #cptsd #mentalhealth #sicknotweak,en
true_meditator,"RT @Psychic_Rosalia: #picoftheday #lifestyle #fashion #model #love #life #motivation #workout #smile #travel #summer #beautiful #girl #beauty #lux #entrepreneur #motivation #business
#mood #depressed #sad #anxiety #depression #spiritualtruth #success #stylish #fulfillment #lifepurpose #lightworker https://t.co/mXunYpwGZR",en
jamesnai99,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
DeLeoJohn,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
SkypeTherapist,"Learn how to use #Mindfulness to Overcome #Anxiety and #Depression: Read: https://t.co/GKSNvigM0c.
Online Mindfulness Therapy via Skype. See: https://t.co/wA24wSaK62.",en
seasanctuaryMH,"It can be very hard to recognise someone with high-functioning illness, because they’ll usually appear to cope in everyday situations, but may be struggling internally. #highfunctioningdepression #depression #mentalhealth 

https://t.co/bBjALhHYgl",en-gb
HealthyPlace,"Four Signs It’s Time to Seek #MentalHealth Help || https://t.co/t2huNyf4xA
==
#anxiety #depression #bipolar #mhsm #mhchat https://t.co/HDTvzna1FY",en
elsokelso,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
MyPharmacyGB,"One key characteristic of clinical #depression is anhedonia, the complete lack of pleasure in things and activities that used to be rewarding. A new study in rats has now uncovered an important #biological factor that contributes to this state.

https://t.co/yNvKbVjwl6 https://t.co/NdRxhoANoj",en
RemnantPodFan,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
MikeKai31642287,"RT @johnkaiser13: It’s Difficult to Drive Forward While Looking in the Rearview Mirror https://t.co/SRkd9nJsAl 
#mentalhealth #AA #alcoholism #depression #success #motivation #mindfulness #change #SaturdayMorning #SaturdayThoughts #SaturdayMotivation #SaturdayKitchen #life #history",en
_EquanimityMind,"“Instead of being at the mercy of wild beasts, earthquakes, landslides, and inundations, modern man is battered by the elemental forces of his own psyche.” ~Carl Jung
.
#depression #love #spirituality #power #nihilism #meditation  #meaning #purpose #anxiety #shadow #psyche #void https://t.co/PWvFuL8N9U",en
schnorbit,"#Depression and #anxierty are real. I've been suffering since 2007. I've been rock bottom and dusted myself off and fought back. #Dailystruggle.

If anyone else suffers #mentalhealth dont bottle it up. #Itsgoodtotalk",en
QuirkyWriterGuy,Don’t give up...Your eyes will adjust. #depression #anxiety #grief #stress #mentalillness #sadness #struggle #MentalHealthAwarenessMonth #jstaylorwrites https://t.co/1hXX2M4xti,en
DrNatalieF,"#Repost @gypsylegends with @get_repost
???
#depression #anxiety #love #mentalhealth #psychology #lgbt #lgbtq #sad #recovery #addiction #mindfulness #therapy #meditate #peace #selfcare #sober #motivation #wellness #mentalillness #intersectionality #wo… https://t.co/yI0A2VDPE0 https://t.co/2XIC6fVfBk",en
MariaSale8,"RT @NevilleSouthall: follow @danieljamesrec
Daniel has battled #depression since losing his Dad to #lungcancer at 55.

He has now run #londonmarathon 4 times raising  £15k 
His mum recently beat #skincancer so plz donate anything to help him raise #awareness #beatcancer #lifeisfragile ?",en
onelastkick71,RT @shellbellsquest: People often wear many masks to hide a stiffling pain. #endthestigma because #mentalhealthmatters. #mentalhealthawarenessmonth &lt;- should be everyday.  We have to break the cycle of stigma so people can get the help they need. #depression #anxiety #mentalhealth https://t.co/VkIeYaf9j3,en
CelebPromoUK,"RT @jeffhalevy: Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
vkararwa,Remember disability is not always a loss of a limb or a terrible incurable disease. #Depression can be a disability. https://t.co/EulF2L5fXl FightDepression,en-gb
nudgenudge1,#ArtzAndMindz #DiscoveryThroughMentalHealth #Anxiety #Depression #Art #Therapy https://t.co/EaStQ4vlsb,en
jeffhalevy,"Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
jeffhalevy,"Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
TheBipolarAspie,"Struggling to find that elusive spark of motivation - very frustrating, feels like I an in shackles #ActuallyAutistic #Aspergers #depression #melancholic but still standing",en
ShaunaGloden1,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
marshawright,"RT @eric_okomado: If you're passing through,
Speak up. Someone will hear, Someone will help.

#DropsthatINSPIRE 
#BeINSPIREDtoday #WednesdayMotivation #FreeLeahSharibu #wednesdaywisdom #wisdom #success #success #followme #suicide  #thinkbigsundaywithmarsha #heartbreak #depression https://t.co/1HNOgzsFoG",en
Osabor1,RT @ProtostarI: #Depression Don’t judge my path if you haven’t walked my journey. https://t.co/QOk8j48ci5,en
JoelVdM,"#loveisland at #F1 
Follow @illusion_docu

#livingmyillusion #tonyjselimi #joelvandermolen #timeavandermolen #illusion #midlifecrisis #illness #depression #marriage #familyvalues #family #children #love #life… https://t.co/WJaJ6FRab6",en
remixedbymel,For how often we discuss #depression are there any less people depressed? Is it getting better? Is all of the social focus on it actually improving the lives of people who are depressed? I need numbers?,en
edpearleen,What is depression? #anxiety #depression #AnxietyAndMe #mentalhealth #insomnia #MentalHealthAwareness,en
GVrijmoeth,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
depressionroad1,I said it before... proper sleep helps alleviate some #depression symptoms https://t.co/XRJRcUkJRZ,en
ItsShayo,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
geology_johnson,"#Acritarch advert I made for the #punkrockmba competition, very high budget, give it a watch and like #industrialmetal #metal #heavymetal #homerecording #depression #mentalhealthawareness https://t.co/nt4kudokYb",en
hopefulcritic,"RT @spiritdance33: Again I want to say~ if you’re suffering- be it a #chronic ##illness, #Depression ~ I do see you and I really do care.???
#ChronicIllness
#MentalHealth
#EndTheStigma https://t.co/ArdXWOS7Be",en
Ta7rmpMike,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
_AshleyBratcher,"Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
Matt_stiadle,"New personal blog post about med shaming.

https://t.co/DpjFyWq0kd

#blog #medshaming #depression #anxiety #bipolar https://t.co/870LOxRDuJ",en
Bravehe97513287,"Master your emotions or they will serve other MASTER'S'
#AI #machinelearning #tvtime #Technology #CALM #meditation_solutiontodepression #AwakenThePowerWithinYou #depression #MedicalMarijuana #Pillowtalk #SaturdayThoughts #SaturdayMotivation",en
Kiezkickerde,#fcsp #rip #depression #depressionen #StDepri https://t.co/JoqyOFyOKP,de
Victori89448917,"RT @Martyna23375543: Mia?o by? z tob? good teraz jest depresion mood
#Crush #depression #sad",en
mythospsych,"RT @SabineMaur: „in the long-term, #psychotherapy conveys less physical health risks and its effect on #depression (i.e., sustained remission and relapse prevention) appears to be superior to #pharmacotherapy according to several meta-analyses of direct comparisons“  https://t.co/tb1M1cqmtY",nl
StopTicsToday,"RT @ACNLatitudes: Find us on FB, too! https://t.co/5KX15mnquV #tics #tourettes #PANDAS #autism #adhd #mentalhealth #depression #vaccines #chemicalsensitivity",en
krystynaolszowa,RT @Dr1ven_Ind: Almost a full year of reminding you’re not alone! 619-929-2388 all the support for you! Check out our YouTube https://t.co/EBQ03rRQpW &amp; Mental Health chat https://t.co/NktookAEwy we got your back! People helping people! #SickNotWeak #anxiety #depression #MentalHealthAwareness https://t.co/3liEDKoPIN,pl
oliverjemuge,"RT @Harun_Mwadena: Today we are celebrating #AfricaDay2019 by empowering youth from #Ethiopia in how to tell their stories &amp; technics in how to overcome #depression.

#mentalhealth #BeyongTheNose #ItsMwadena #FatumasVoice 

@FatumasVoice @cmxchange @Ashoka @asalvaire @YALI4AFRICA @YALINetwork https://t.co/zfxJUK1Asr",en
TrishHurtubise,"For most people living with #depression, our story doesn’t end with, “I started taking medications and went to counseling, and now I’m better.” Depression is a disease process that we deal with on a daily basis. https://t.co/jUFpiHuYkt #MentalHealth #SelfMedicating #Addiction",en
GinnyJaques,"Lost hope, for the world, for your life? This story will give it back to you. https://t.co/tIas7WCYxy. #hopeforlife #depression",en
TipDepression,"Mindfulness helps mothers with opioid use disorder combat depression
https://t.co/y2FsvB5Wig

#Mindfulness #depression #mothers #opioid https://t.co/qh9AhtR66s",en
SprinkleCourage,RT @ChloeZara11: Busy day of filming &amp; editing new Sprinkle of Courage Video. It will go Live on Monday! ???????? #vlogger #mentalhealth #mentalillness #support #supportgroup #selfhelp #selfharm #depression #suicide #recovery… https://t.co/TFrxswEbpg,en
pcolaagent,"RT @spiritdance33: Again I want to say~ if you’re suffering- be it a #chronic ##illness, #Depression ~ I do see you and I really do care.???
#ChronicIllness
#MentalHealth
#EndTheStigma https://t.co/ArdXWOS7Be",en
allentien,#Buprenorphine and #Depression https://t.co/LNazMs6L6U ..#SharedFacts,en
jerz653,Me: today is the day I will start my code journey Depression:meh things suck. Just stay where you are. Don’t upset things pal. Don’t rock the boat #depression sucks. If you say “just get over it” then you have no clue at all. Be better. Understand.,en
smallbizshoutUK,"RT @maxollieandme: #warrior #mindful lavender sachets, get well present, #anxiety thinking of you gift, selfcare, #depression #mindfulness relaxation https://t.co/huvYOifbkt @Etsy #smallbiz #shopsmallchangehabits #uksmallbiz #shopsmall",en
MMBrown14,"RT @SPRCtweets: Thank you for sharing this important information about #suicide and #depression screening, @CDAdentists! Our #suicideprevention toolkit for #primarycare practices can be useful for #dentalcare practices as well! https://t.co/QsCv7QD8Pb @TDICinsurance @wicheEDU https://t.co/r4FCdsJ2DN",en
falgod,How To Prosper! https://t.co/5RyxiBOPEV via @YouTube #prospering #finance #life #depression #inspiration #leadership  #author #youtube,en
KarinSieger,"RT @KarinSieger: Summer depression is real. What to expect and what to do. https://t.co/xx3i0NJv5A

#depression #summer #loneliness #anxiety #selfhelp #mentalhealth https://t.co/VqcF3yUVoQ",en
johnkaiser13,"It’s Difficult to Drive Forward While Looking in the Rearview Mirror https://t.co/SRkd9nJsAl 
#mentalhealth #AA #alcoholism #depression #success #motivation #mindfulness #change #SaturdayMorning #SaturdayThoughts #SaturdayMotivation #SaturdayKitchen #life #history",en
ceruseinfo,"High as a kite today on sertraline, I have off days when it stops being a medicine and is more of a hindrance. Banging headache yet light headed at the same time, and all clammy. Nice. Still, could be good for the creative juices. #depression",en
CranwellJames,"RT @BoomingEncore: Not everyone embraces aging and as @OlderTodayDave shares, there are some significant issues specifically for men that we need to address; The Perils Of Aging For Men ?https://t.co/EHCgAAHYy5 #cdnboomers #babyboomers #boomers #aging #men #depression #mentalhealth https://t.co/1oAF5WFlka",en-gb
torevenn,"For outlpays better than @faker, heads hots better than @shroud, drama better than @TTfue. Come over and check my stream out. I guarantee you'll be disappointed but do it anyway.

Get on my level! https://t.co/VGfBU2sk9Z

I'm actually horse shit, but I need friends

#depression https://t.co/olA9iOMYc5",en
DrivingMomBlog,What I Didn’t Know on Our Wedding Day  #depression,en
ChrysoMusic,Look after yourself #depression #anxiety #AnxietyAndMe #DepressionAndMe #help #love https://t.co/6YV0HjPBOq,en
FindingWolfGirl,"I’m going to enjoy this weekend, and myself, i am not going to let my #AnxietyDisorder #Depression #PTSD bring me down ?? https://t.co/EL8NiHSmmb",en
maxollieandme,"#warrior #mindful lavender sachets, get well present, #anxiety thinking of you gift, selfcare, #depression #mindfulness relaxation https://t.co/huvYOifbkt @Etsy #smallbiz #shopsmallchangehabits #uksmallbiz #shopsmall",en
nudgenudge1,"Drawing taken from photograph. This is a view of St Ives, Cornwall.
#ArtzAndMindz
#DiscoveryThroughMentalHealth #Art #Therapy #Anxiety #Depression
#ForTheLoveOfDogs #Polychromas #FaberCastell #Graphite #Cornwall @Dawn_French https://t.co/jap0k2Qlkh",en
SchwarzerHund40,"Nicht wundern, bin gleich erstmal weg. Guthaben leer und kann erst Dienstag wieder aufladen. Viel Spaß gleich beim Pokal Finale! Wir hören uns! #armut #wasihrnichtseht #depression",de
ANewDawn_AA,"Episode 33 - Kevan shares his advocacy for ""HisMENtalHEalth"" after a childhood of depression, bullying and angry outbursts. https://t.co/hd25Pb3eqS #Menshealth #depression #bullying #podcast #listen #subscribe https://t.co/aBd4ob5UIN",en
onelastkick71,#BPDAwarenessmonth #SickNotWeak #MentalHealthAwareness #depression https://t.co/hxo0PBxh2A,en
Kerry_Loo,"RT @NevilleSouthall: follow @danieljamesrec
Daniel has battled #depression since losing his Dad to #lungcancer at 55.

He has now run #londonmarathon 4 times raising  £15k 
His mum recently beat #skincancer so plz donate anything to help him raise #awareness #beatcancer #lifeisfragile ?",en
Nivedita_3,"#Depression is One of the maiN cauSe of ""stomacH paiN"" ?",en
LuTConnect,RT @NationalBishop: We pray for all individuals who live with mental illness and those who accompany them. #depression #suicideawareness #MentalHealthIsHealth,en
DiscombobBrain,"RT @NevilleSouthall: follow @danieljamesrec
Daniel has battled #depression since losing his Dad to #lungcancer at 55.

He has now run #londonmarathon 4 times raising  £15k 
His mum recently beat #skincancer so plz donate anything to help him raise #awareness #beatcancer #lifeisfragile ?",en-gb
rmorley74,"RT @NevilleSouthall: follow @danieljamesrec
Daniel has battled #depression since losing his Dad to #lungcancer at 55.

He has now run #londonmarathon 4 times raising  £15k 
His mum recently beat #skincancer so plz donate anything to help him raise #awareness #beatcancer #lifeisfragile ?",en
ANewDawn_AA,"Episode 35 - Jody shares her life living with complex PTSD, Borderline Personality Disorder, Depression and is a suicide survivor
https://t.co/eJz58N1xkT
#podcast @onelastkick71 #cptsd #bpd #depression #suicidesurvivor @afspsfchapter https://t.co/6jvsPTGfeM",en
AwakeTherapy,#TipOfTheDay #Mentalhealth #positivethinking #anxiety #depression #MentalHealthMatters #positivethinking #Positivity #dowhatyoulove #counselling #facts #Healing #wellbeing #DepressionIsReal #dailymotivation #YouAreNotAlone #itsokaynottobeokay #mentalhealthadvice #YouGotThis https://t.co/g565oIeVKZ,en
peteojnab,"RT @NevilleSouthall: follow @danieljamesrec
Daniel has battled #depression since losing his Dad to #lungcancer at 55.

He has now run #londonmarathon 4 times raising  £15k 
His mum recently beat #skincancer so plz donate anything to help him raise #awareness #beatcancer #lifeisfragile ?",en
willregla,#Truth #MentalHealthAwarenessMonth #MentalHealth #Depression #Bipolar  https://t.co/Dlj8yZUYMj,en
